author,desc,plays,likes,shares,comments,link,song
Sierra Stratton,"HAHAHHA, wait til the end 🤣😭🏃‍♀️🏃‍♀️ #JustDanceMoves #dinoday #AXEfingersdown #realityripple #AlmondWalk #running #fyp #workout",1300000,195400,7843,821,https://v19.tiktokcdn.com/ae3ce146aa914c4be9c0f79907cce397/5eec4365/video/tos/useast2a/tos-useast2a-ve-0068c004/1f3c8c435b0c42a2b705381c08330e78/?a=1233&br=2332&bt=1166&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2RmNmUzPHZodTMzOzczM0ApNmhpNGY1NTtlNzw4aThoZGc1NXBhX24wcDBfLS1iMTZzc19gLTA0MzQvYy8uYDAwM2A6Yw%3D%3D&vl=&vr=,original sound
Mitzi Tiri,One of my go to places while I’m quarantine #realityripple #fyp #foryoupage #xyzbca #millenial #drink #funny #5oclocksomewhere,2600000,310300,5524,708,https://v19.tiktokcdn.com/82d0cfe53ad098e276a2ae0c1cf4a91e/5eec4363/video/tos/useast2a/tos-useast2a-ve-0068c002/0b176e8dbbe14d189bbbfc5fe85556e1/?a=1233&br=3892&bt=1946&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=Mzw1NmQ8dDZtdTMzOzczM0ApZDNpNzRnOGVmNzo6aDxlPGcxNG4yZW4xYjBfLS01MTZzczFgYDM1YV4xY15iNl4yNC46Yw%3D%3D&vl=&vr=,original sound
@Baby.Fayee ,#duet with @sobermomster okay! I see you ❤️,486800,95500,33,68,https://v19.tiktokcdn.com/c5a6ccc379eb160b9b00ebb7080e45ec/5eec4364/video/tos/useast2a/tos-useast2a-pve-0068/98852ab4c09a4f338273bf471e8c634b/?a=1233&br=1792&bt=896&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2h0bDxqOWt2dDMzNjczM0ApPDU7NWk1NDw6N2QzaTY6Nmdoam5rZV4vMHBfLS1eMTZzcy0uLjJjLjE2NjFhLzZeMi46Yw%3D%3D&vl=&vr=,Float on the Sound (Ey)
S h e l l y,Bet you can’t duet this #beastmode #proverbs31woman #learnontiktok #favoritememories #got2bhome #SoapBop @caitlyncarter4,291900,11800,1118,278,https://v19.tiktokcdn.com/14cde86ab112fd00c0b7fe9c4bbd49de/5eec4364/video/tos/useast2a/tos-useast2a-ve-0068c001/4089e8f40f1c401f884e223365d870b1/?a=1233&br=3344&bt=1672&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=MzdtaHFkeDZkdTMzNjczM0ApaDg7NWloNzs0NzZkZjY5ZGdycmFpZGAwNS5fLS1eMTZzc2BfNWNiYmIyXy8zYV4yYV46Yw%3D%3D&vl=&vr=,Rocky: Eye of the Tiger
V,SORRY aha 🤪 !! #foryou #foryou #quarantine #quarantinemademetiktok #tiktokforfun #justforfun #showsomelovedoubletap,587900,17600,659,75,https://v19.tiktokcdn.com/25283b308e58271fe7f30ed09edb7edd/5eec435c/video/tos/useast2a/tos-useast2a-pve-0068/177d7e84e03d4fbc8f7cc98bb5c66f26/?a=1233&br=4134&bt=2067&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=anhqcnQ1bnJtdTMzOzczM0ApZTs5NWhmZTw7NzxnNGZoOmc2ZjZnZDNlMjBfLS0zMTZzczMwYC9fXjZgNC8xXl9jY146Yw%3D%3D&vl=&vr=,sonido original
Matt Reed,#duet with @coreyscherer this was crazy!!! #fyp #foryoupage #comedy,748300,38400,17,25,https://v19.tiktokcdn.com/5b129b7501e5950832fcae78198e1a85/5eec436a/video/tos/useast2a/tos-useast2a-ve-0068c001/eefbf44f13ad42d985adc1b70e0a39ec/?a=1233&br=2190&bt=1095&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M280ODQ2b3BqdDMzZzczM0ApZjs8ZTZnaDw2NzNpOGdmZWdyLWkwaTVuNnFfLS02MTZzcy4xYjBiMC8yY2JjMF81Yi06Yw%3D%3D&vl=&vr=,original sound
Anisa Benitez,Share other offline practices for ✌🏽of mind in the comments #mentalhealthtips #peaceofmind #learnontiktok #tiktokpartner #selfcaretips,36000,1103,37,48,https://v19.tiktokcdn.com/cccb553cd28799efb74f74d425bde59a/5eec4361/video/tos/useast2a/tos-useast2a-ve-0068c002/075f75ffa1c04999b7fe3d83278bdb41/?a=1233&br=4332&bt=2166&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=MzszO2tuM2kzdTMzMzczM0ApM2UzZmY7aWU8N2Q6NzRpaWc2Zi5gX19yXmhfLS1iMTZzcy0yNC8wYDI2MGFfNTYtMzM6Yw%3D%3D&vl=&vr=,THE 4TH WALL
Breanna Nichole,Didn’t think this would actually work!! #fypchallenge #quarantine,678400,49800,1859,278,https://v19.tiktokcdn.com/05166bd0b0edfc72dbcec1003e0f7f71/5eec4372/video/tos/useast2a/tos-useast2a-pve-0068/b99660d74eca4019b4afca605d110d76/?a=1233&br=4420&bt=2210&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amZ4bGRpPHF1dDMzNzczM0ApNGVmNjY4Zzw4NzkzZ2U0O2dgZ2pqL2YwNWxfLS1hMTZzc2JeMWE1Yy4tXi01YDA0NV86Yw%3D%3D&vl=&vr=,original sound
Ali,Can I Scare My Dog?? #fyp #comedy #foryou #viral,4900000,428000,1691,3049,https://v19.tiktokcdn.com/f3368550ec458862d8b0d543cfeaa9e4/5eec4399/video/tos/useast2a/tos-useast2a-ve-0068c002/4295b4d141fa4518b80e5984fc3846ea/?a=1233&br=1472&bt=736&cr=0&cs=0&dr=0&ds=3&er=&l=202006182248160101890711495E8D8181&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=am86cTxyOjc8dDMzOTczM0ApZzZpOTk0aWU5NzNoOjo6O2dtb2dnbDBmMC5fLS0tMTZzczJfMTAwLi4yMWMuYTAtYjQ6Yw%3D%3D&vl=&vr=,original sound
Austin Raye,3RD TIME THEY TOOK THIS VIDEO DOWN! 😡 #fyp #foryou #foryoupage #viral #HiddenTalents #ghostridechallenge #challenge,1100000,74200,3480,1190,https://v16m.tiktokcdn.com/77ebaf4edc79096d95364aafd887cd53/5eec4398/video/tos/useast2a/tos-useast2a-ve-0068c003/ced8e9b4445a41c490f40a73b2322d24/?a=1233&br=4588&bt=2294&cr=0&cs=0&dr=0&ds=3&er=&l=202006182248160101890711495E8D8181&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2VuNjY0a253dTMzPDczM0ApOGc2Zjg2ZGQ4NzUzOTY6OGc0b2hqLW5uY2NfLS0xMTZzc2JhMDM0YjAzMV9iX2JgXi86Yw%3D%3D&vl=&vr=,Ride It
